station_observations,,,,,,,,
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STORM_SNOW, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, MAXIMUM_AIR_TEMPERATURE, time, PRECIPITATION_NEW, HEIGHT_OF_SNOW
7, None, None,0,7,9, 1989-12-08 07:00:00,9,0
7, None, None,0,6,9, 1989-12-08 16:00:00,3,0
1, None, None,0,1,7, 1989-12-09 08:00:00,3,0
9, None, None,0,1,10, 1989-12-09 15:30:00,0,0
0, None, None,0,-1,9, 1989-12-10 07:00:00,0,0
6, None, None,0,-1,6, 1989-12-10 16:00:00,0,0
-1.5, None, None,0,-1.5,6, 1989-12-11 06:30:00,0,0
4.5, None, None,0,-1.5,7, 1989-12-11 16:15:00,0,0
-1.5, None, None,0,-1.5,5, 1989-12-12 06:30:00,0,0
5, None, None,0,-2,6, 1989-12-12 16:45:00,0,0
4, None, None,0,4,5, 1989-12-13 06:30:00,0,0
6, None, None,0,4,6, 1989-12-13 16:30:00,0,0
5.5, None, None,0,5.5,6, 1989-12-14 06:30:00,0,0
6.5, None, None,0,5,9, 1989-12-14 16:25:00,0,0
4.5, None, None,0,3,6.5, 1989-12-15 07:15:00,0,0
9, None, None,0,4.5,9, 1989-12-15 15:45:00,0,0
3, None, None,0,-1,9, 1989-12-16 07:45:00,0,0
4.5, None, None,0,2,7, 1989-12-16 15:55:00,0,0
4, None, None,0,3,7, 1989-12-17 07:25:00,0,0
6, None, None,0,4,7.5, 1989-12-17 15:50:00,0,0
0, None, None,0,-3,6, 1989-12-18 06:50:00,0,0
4, None, None,0,0,5, 1989-12-18 16:30:00,3,0
6, None, None,0,3.5,6, 1989-12-19 06:30:00,2,0
6, None, None,0,6,8, 1989-12-19 16:00:00,2,0
6, None, None,0,6,7, 1989-12-20 06:40:00,1,0
8, None, None,0,6,8, 1989-12-20 16:20:00,0,0
6, None, None,0,6,8, 1989-12-21 06:20:00,0,0
6, None, None,0,5,7, 1989-12-21 16:05:00,2,0
3, None, None,0,3,7, 1989-12-22 06:45:00,0,0
7.5, None, None,0,3,8, 1989-12-22 15:40:00,0,0
7, None, None,0,5,8, 1989-12-23 07:30:00,1,0
9, None, None,0,7,9, 1989-12-23 15:30:00, None,0
8, None, None,0,7,10, 1989-12-24 07:30:00,0,0
11, None, None,0,8,11.5, 1989-12-24 15:30:00,0,0
5, None, None,0,3,10, 1989-12-25 06:30:00,0,0
5, None, None,0,5,6, 1989-12-25 15:30:00,0,0
5, None, None,0,4,6.5, 1989-12-26 06:45:00,0,0
5, None, None,0,4.5,6, 1989-12-26 15:30:00, None,0
5, None, None,0,3,6, 1989-12-27 06:30:00,0,0
5, None, None,0,5,6, 1989-12-27 15:45:00,4,0
5, None, None,0,4,6, 1989-12-28 06:45:00,8,0
7, None, None,0,2,8, 1989-12-28 15:30:00,0,0
5, None, None,0,5,7, 1989-12-29 06:45:00,10,0
6, None, None,0,5,8, 1989-12-29 16:00:00,0,0
6, None, None,0,6,7.5, 1989-12-30 06:20:00,0,0
9, None, None,0,6,9, 1989-12-30 15:30:00,0,0
7, None, None,0,6,9, 1989-12-31 08:50:00,1,0
7, None, None,0,6,8, 1989-12-31 15:30:00,2,0
4, None, None,0,4,8, 1990-01-01 07:35:00,0,0
4, None, None,0,3.5,7, 1990-01-01 15:30:00,0,0
-1, None, None,0,-1,5, 1990-01-02 06:15:00,0,0
5.5, None, None,0,-1.5,8, 1990-01-02 16:20:00,0,0
4, None, None,0,3.5,5.5, 1990-01-03 06:20:00,2,0
7.5, None, None,0,4,7.5, 1990-01-03 16:25:00,6,0
5, None, None,0,5,7.5, 1990-01-04 06:30:00,12,0
8, None, None,0,5,9, 1990-01-04 16:30:00,0,0
7, None, None,0,3,9, 1990-01-05 06:45:00,3,0
9.5, None, None,0,6.5,9.5, 1990-01-05 16:00:00,12,0
6, None, None,0,5,9.5, 1990-01-06 08:00:00,2,0
7, None, None,0,6,8, 1990-01-06 15:30:00,0,0
7, None, None,0,6,10, 1990-01-07 06:30:00,22,0
8, None, None,0,7,10, 1990-01-07 15:30:00,6,0
8, None, None,0,6,9, 1990-01-08 06:30:00,0,0
8, None, None,0,7,10, 1990-01-08 16:10:00,0,0
7, None, None,0,7,8, 1990-01-09 06:30:00,18,0
6, None, None,0,6,7, 1990-01-09 16:15:00,7,0
2, None, None,0,1,6, 1990-01-10 06:30:00,2,0
5, None, None,0,1,6, 1990-01-10 16:00:00,0,0
3, None, None,0,0,5, 1990-01-11 06:30:00,0,0
4, None, None,0,3,6, 1990-01-11 16:20:00,2,0
4, None, None,0,4,5, 1990-01-12 06:30:00,3,0
7, None, None,0,3.5,8, 1990-01-12 16:00:00,0,0
6, None, None,0,5,7, 1990-01-13 07:25:00,1,0
8, None, None,0,6,8, 1990-01-13 16:30:00,0,0
6.5, None, None,0,6.5,8.5, 1990-01-14 07:00:00,4,0
7, None, None,0,6.5,8, 1990-01-14 17:00:00, None,0
5, None, None,0,5,9, 1990-01-15 06:30:00,0,0
7.5, None, None,0,5,7.5, 1990-01-15 16:00:00,0,0
5, None, None,0,5,7.5, 1990-01-16 06:30:00,0,0
8, None, None,0,3,11, 1990-01-16 16:20:00,0,0
-1, None, None,0,-1,8, 1990-01-17 06:30:00,0,0
7, None, None,0,-1,7, 1990-01-17 15:30:00,0,0
-1, None, None,0,-2,7, 1990-01-18 06:30:00,0,0
4.5, None, None,0,-2,7, 1990-01-18 16:30:00,0,0
3, None, None,0,-1,5, 1990-01-19 06:30:00,0,0
8, None, None,0,1,9, 1990-01-19 16:00:00,0,0
3.5, None, None,0,1.5,9, 1990-01-20 06:15:00,0,0
7, None, None,0,3,7, 1990-01-20 15:30:00,0,0
5, None, None,0,5,8.5, 1990-01-21 06:15:00,0,0
6, None, None,0,5,6.5, 1990-01-21 15:45:00,1,0
6.5, None, None,0,5,6.5, 1990-01-22 06:40:00,10,0
5, None, None,0,5,7, 1990-01-22 16:15:00,3,0
5, None, None,0,4,6, 1990-01-23 06:30:00,9,0
6, None, None,0,4.5,9, 1990-01-23 16:30:00,0,0
4, None, None,0,4,7, 1990-01-24 06:30:00,1,0
6, None, None,0,4,8, 1990-01-24 15:30:00,4,0
5, None, None,0,4.5,7, 1990-01-25 06:30:00,10,0
4.5, None, None,0,4.5,7, 1990-01-25 16:25:00,10,0
4.5, None, None,0,-1,5, 1990-01-26 06:30:00,0,0
4, None, None,0,1,7, 1990-01-26 15:30:00,0,0
4, None, None,0,1,5, 1990-01-27 08:00:00,15,0
7, None, None,0,4,8, 1990-01-27 16:00:00,2,0
4, None, None,0,3,9, 1990-01-28 07:20:00,10,0
5, None, None,0,3.5,7.5, 1990-01-28 13:00:00,17,0
4, None, None,0,4,7, 1990-01-29 06:30:00,2,0
4, None, None,0,3.5,6, 1990-01-29 16:15:00,2,0
2, None, None,0,0,5, 1990-01-30 06:40:00,1,0
5.5, None, None,0,2,7, 1990-01-30 16:00:00,0,0
0, None, None,0.1,0,5.5, 1990-01-31 06:30:00,1,0
4, None, None,0,0,4, 1990-01-31 17:00:00,3,0.1
3, None, None,0,2.5,5, 1990-02-01 06:30:00,4,0
5.5, None, None,0,3,7, 1990-02-01 15:50:00,3,0
7, None, None,0,3.5,7, 1990-02-02 06:30:00,8,0
8, None, None,0,7,8, 1990-02-02 16:00:00,0,0
4, None, None,0,3.5,9.5, 1990-02-03 07:45:00,14,0
5, None, None,0,0,8.5, 1990-02-03 15:45:00,0,0
0, None, None,0,0,5, 1990-02-04 07:30:00,0,0
5, None, None,0,0,6, 1990-02-04 15:30:00,0,0
10.5, None, None,0,6,11, 1990-02-04 15:40:00, None,0
3, None, None,0,2,7, 1990-02-05 06:25:00,12,0
2, None, None,0,2,7, 1990-02-05 16:30:00,5,0
1, None, None,0.1,0,2, 1990-02-06 06:50:00,5,0
3, None, None,0,0,6, 1990-02-06 16:00:00,3,0
2, None, None,0.1,-1,4, 1990-02-07 06:30:00,1,0
3.5, None, None,0,1,5, 1990-02-07 16:30:00,14,0
1, None, None,0,-1,4, 1990-02-08 06:30:00,1,0
3.5, None, None,0,0.5,4, 1990-02-08 15:45:00,3,0
3.5, None, None,0,3.5,4, 1990-02-09 06:30:00,5,0
9, None, None,0,3.5,9, 1990-02-09 15:30:00,11,0
9, None, None,0,8,10, 1990-02-10 07:30:00,19,0
9, None, None,0,9,9.5, 1990-02-10 15:45:00,10,0
3, None, None,0,3,9, 1990-02-11 07:15:00,15,0
3.5, None, None,0,3,4.5, 1990-02-11 15:30:00,3,0
-4, None, None,8,-4,3.5, 1990-02-12 06:45:00,0,8
2, None, None,0,-5,4, 1990-02-12 15:45:00,0,0.1
-1, None, None,0,-1,2, 1990-02-13 06:00:00,0,0
1, None, None,0,-1,2, 1990-02-13 15:45:00,0,0.1
-5, None, None,0,-6.5,2, 1990-02-14 06:30:00,0,0.1
1, None, None,0,-5,2, 1990-02-14 15:45:00,0,0.1
1, None, None,8,0,2, 1990-02-15 07:00:00,0,8
5.5, None, None,0,1,5.5, 1990-02-15 16:00:00,9,0
-1, None, None, None,-1,5.5, 1990-02-16 08:00:00, None, None
-1.5, None, None, None,-2,-1, 1990-02-16 16:00:00, None, None
-1, None, None,10,-1,-1, 1990-02-17 08:00:00,0,10
-1, None, None,0,-7,0, 1990-02-17 17:30:00,0,20
-8, None, None,0,-9,-1, 1990-02-18 07:10:00,0,20
4, None, None,0,-8,4, 1990-02-18 15:30:00,0,20
-5, None, None,0,-5,4, 1990-02-19 06:55:00,0,20
3, None, None,0,-5,4, 1990-02-19 15:30:00,0,5
2.5, None, None,0,2,3.5, 1990-02-20 08:45:00,11,5
8.5, None, None,0,2,8.5, 1990-02-20 16:00:00,1,5
2.5, None, None,0,1,8.5, 1990-02-21 07:40:00,0,2
8, None, None,0,2.5,8.5, 1990-02-21 15:30:00,0,2
4, None, None,0,3,9, 1990-02-22 06:55:00,0,2
10, None, None,0,3.5,10, 1990-02-22 15:45:00,0,0
0, None, None,0,-1,10, 1990-02-23 06:05:00,0,0
7, None, None,0,-1,9.5, 1990-02-23 15:40:00,0,0
5, None, None,0,5,7, 1990-02-24 07:30:00,0,0
10, None, None,0,5,12, 1990-02-24 15:45:00, None,0
6, None, None,0,6,10, 1990-02-25 07:45:00,0,0
9, None, None,0,6,10, 1990-02-25 15:30:00,0,0
3, None, None,0,-2,10, 1990-02-26 07:30:00,0,0
12.5, None, None,0,0,12.5, 1990-02-26 16:00:00,0,0
14, None, None,0,2,14, 1990-02-27 04:00:00,0,0
4, None, None,0,0,13, 1990-02-27 07:30:00,0,0
2, None, None,0,-0.5,14, 1990-02-28 07:40:00,0,0
15, None, None,0,0,15, 1990-02-28 16:15:00,0,0
0, None, None,0,-1,1, 1990-03-01 07:30:00,0,0
14.5, None, None,0,0,15, 1990-03-01 16:10:00,0,0
3, None, None,0,3,14.5, 1990-03-02 08:00:00,0,0
14, None, None,0,3,14, 1990-03-02 14:00:00,0,0
3, None, None,0,1,14, 1990-03-03 07:10:00,1,0
12, None, None,0,3,13, 1990-03-03 16:00:00,0,0
6, None, None,0,5,12, 1990-03-04 07:15:00,1,0
10.5, None, None,0,6,11, 1990-03-04 15:40:00,0,0
2, None, None,0,0,10, 1990-03-05 07:15:00,0,0
11, None, None,0,2,13, 1990-03-05 17:30:00,0,0
6, None, None,0,6,12, 1990-03-06 06:40:00,9,0
7, None, None,0,6,9, 1990-03-06 16:00:00,2,0
5, None, None,0,5,7, 1990-03-07 06:30:00,6,0
5.5, None, None,0,4.5,7, 1990-03-07 16:00:00,0,0
1, None, None,0.1,1,6, 1990-03-08 06:30:00,0,0
5, None, None,0,1,6, 1990-03-08 16:00:00,4,0
4, None, None,0,2.5,5, 1990-03-09 06:30:00,0,0
6.5, None, None,0,4,6.5, 1990-03-09 16:45:00,1,0
3, None, None,0,2,6.5, 1990-03-10 07:45:00,5,0
5, None, None,0,3,9.5, 1990-03-10 16:00:00,1,0
2.5, None, None,0,-1,6, 1990-03-11 07:05:00,0,0
7, None, None,0,2.5,8.5, 1990-03-11 16:00:00,0,0
-2, None, None,0,-2,7, 1990-03-12 06:30:00,0,0
10, None, None,0,-2,11, 1990-03-12 15:30:00,0,0
-1, None, None,0,-1,10, 1990-03-13 06:30:00,0,0
7.5, None, None,0,-1,7.5, 1990-03-13 16:15:00,0,0
5, None, None,0,3.5,7.5, 1990-03-14 06:30:00,4,0
12, None, None,0,4.5,12, 1990-03-14 16:30:00,0,0
3, None, None,0,2.5,12, 1990-03-15 06:30:00,0,0
11, None, None,0,3,12, 1990-03-15 16:50:00,0,0
6, None, None,0,4,12, 1990-03-16 05:45:00,0,0
12, None, None,0,6,12, 1990-03-16 15:30:00,0,0
7, None, None,0,5,13, 1990-03-17 06:27:00,3,0
11, None, None,0,7,12, 1990-03-17 15:50:00,1,0
8, None, None,0,7,13, 1990-03-18 06:15:00,0,0
14, None, None,0,7,15, 1990-03-18 16:20:00,0,0
6, None, None,0,5,14, 1990-03-19 06:00:00,0,0
11.5, None, None,0,6,14, 1990-03-19 16:30:00,0,0
7, None, None,0,7,12, 1990-03-20 06:05:00,0,0
15, None, None,0,6,15, 1990-03-20 16:15:00,0,0
5, None, None,0,3.5,12, 1990-03-21 06:30:00,0,0
12, None, None,0,5,15, 1990-03-21 16:00:00,0,0
7, None, None,0,7,12, 1990-03-22 06:20:00,0,0
5, None, None,0,5,7, 1990-03-22 16:00:00,0,0
3.5, None, None,0,2.5,5, 1990-03-23 06:20:00,1,0
9.5, None, None,0,1,9.5, 1990-03-23 15:30:00,0,0
5, None, None,0,-1,10.5, 1990-03-24 07:15:00,0,0
12, None, None,0,5,12.5, 1990-03-24 17:15:00,0,0
3, None, None,0,0,12, 1990-03-25 07:00:00,0,0
15, None, None,0,3,15, 1990-03-25 16:10:00,0,0
0, None, None,0,-1,15, 1990-03-26 06:30:00,0,0
15, None, None,0,0,17, 1990-03-26 16:15:00,0,0
0, None, None,0,0,15, 1990-03-27 06:20:00,0,0
18, None, None,0,0,20, 1990-03-27 16:30:00,0,0
3, None, None,0,2,18, 1990-03-28 07:00:00,0,0
17, None, None,0,3,19, 1990-03-28 16:15:00,0,0
4, None, None,0,4,18, 1990-03-29 06:15:00,0,0
16, None, None,0,4,17, 1990-03-29 16:30:00,0,0
5, None, None,0,5,16, 1990-03-30 07:00:00,0,0
14.5, None, None,0,5,16, 1990-03-30 16:10:00,0,0
8, None, None,0,4,16, 1990-03-31 07:15:00,0,0
14, None, None,0,7,14, 1990-03-31 16:10:00,0,0
6, None, None,0,4,15.5, 1990-04-01 07:10:00,0,0
13, None, None,0,6,14.5, 1990-04-01 16:30:00,0,0
15.5, None, None,0,6,16, 1990-04-02 16:00:00,0,0
2.5, None, None,0,2.5,16, 1990-04-03 06:30:00,0,0
16, None, None,0,2.5,16, 1990-04-03 17:10:00,0,0
1.5, None, None,0,1,17, 1990-04-04 07:00:00,0,0
19, None, None,0,1,19, 1990-04-04 16:00:00,0,0
2, None, None,0,2,19, 1990-04-05 06:30:00,0,0
18, None, None,0,2,18, 1990-04-05 16:30:00,0,0
3, None, None,0,3,19, 1990-04-06 07:00:00,0,0
17, None, None,0,3,17, 1990-04-06 16:40:00,0,0
4, None, None,0,3,18, 1990-04-07 07:30:00,0,0
13, None, None,0,4,16, 1990-04-07 16:30:00,0,0
8.5, None, None,0,5,14, 1990-04-08 08:00:00,0,0
11, None, None,0,8.5,11.5, 1990-04-08 16:00:00,0,0
6, None, None,0,6,13, 1990-04-09 06:15:00,0,0
11, None, None,0,6,13, 1990-04-09 16:15:00,0,0
8, None, None,0,8,12, 1990-04-10 06:00:00,0,0
18, None, None,0,8,18, 1990-04-10 16:20:00,0,0
10, None, None,0,10,19, 1990-04-11 06:20:00,0,0
10, None, None,0,10,18, 1990-04-11 16:30:00,0,0
5.5, None, None,0,5.5,18, 1990-04-12 06:30:00,0,0
16, None, None,0,5.5,16, 1990-04-12 17:00:00,0,0
8.5, None, None, None,8,16, 1990-04-13 07:10:00,0, None
10, None, None,0,8.5,10, 1990-04-13 16:11:00,6,0
10, None, None, None,9,10.5, 1990-04-14 07:00:00,1, None
16, None, None, None,9,16, 1990-04-14 17:10:00, None, None
9, None, None, None,7,16, 1990-04-15 07:50:00, None, None
21, None, None, None,9,21, 1990-04-15 17:00:00, None, None
12, None, None,0,8,21, 1990-04-16 07:50:00,0,0
24, None, None,0,12,24.5, 1990-04-16 16:30:00,0,0
11, None, None,0,11,24, 1990-04-17 06:45:00,2,0
14.5, None, None,0,11,15, 1990-04-17 15:45:00,0,0
6, None, None,0,6,15, 1990-04-18 06:00:00,0,0
9, None, None,0,6,11, 1990-04-18 16:00:00,0,0
9, None, None,0,9,11, 1990-04-19 06:30:00,4,0
12, None, None,0,9,12, 1990-04-19 16:00:00,5,0
9, None, None,0,8.5,12, 1990-04-20 07:30:00,2,0
15, None, None,0,8.5,15, 1990-04-20 16:00:00,0,0
8, None, None,0,7,15, 1990-04-21 07:30:00,0,0
16.5, None, None,0,7,16.5, 1990-04-21 16:00:00,0,0
11.5, None, None,0,7,16.5, 1990-04-22 07:30:00,1,0
11.5, None, None,0,7,12, 1990-04-22 16:00:00,1,0
10, None, None,0,7,12, 1990-04-23 06:30:00,10,0
10, None, None,0,7,12, 1990-04-23 16:00:00,3,0
7, None, None,0,7,12, 1990-04-24 06:30:00,0,0
12, None, None,0,7,13, 1990-04-24 16:30:00,0,0
7, None, None,0,7,13, 1990-04-25 06:30:00,7,0
10, None, None,0,7,11, 1990-04-25 16:20:00,2,0
6.5, None, None,0,6.5,10, 1990-04-26 06:20:00,0,0
8.5, None, None,0,6.5,10, 1990-04-26 16:30:00,0,0
5.5, None, None,0,5.5,8.5, 1990-04-27 06:30:00,2,0
9, None, None, None,5.5,9.5, 1990-04-27 16:00:00, None, None
6, None, None, None,6,9, 1990-04-28 06:00:00, None, None
13, None, None, None,5,13, 1990-04-28 16:00:00, None, None
4.5, None, None, None,4.5,13, 1990-04-29 06:00:00, None, None
16, None, None, None,4,16, 1990-04-29 16:00:00, None, None
4, None, None, None,4,16, 1990-04-30 06:00:00, None, None
10, None, None,0,8.5,10, 1990-10-01 06:00:00, None,0
15, None, None,0,10,16, 1990-10-01 16:00:00,0,0
10, None, None,0,10,15, 1990-10-02 06:30:00,0,0
13, None, None,0,9,14, 1990-10-02 16:00:00,0,0
9, None, None,0,8,14, 1990-10-03 06:30:00,22,0
15, None, None,0,9,17, 1990-10-03 16:30:00,8,0
13, None, None,0,9,17, 1990-10-04 06:30:00,24,0
13, None, None,0,13,13, 1990-10-04 16:00:00,2,0
6, None, None,0,6,13, 1990-10-05 06:30:00, None,0
14, None, None,0,5,14.5, 1990-10-05 16:00:00,0,0
3, None, None,0,3,14, 1990-10-06 06:30:00,0,0
13, None, None,0,3,13.5, 1990-10-06 16:30:00,0,0
4.5, None, None,0,4,13, 1990-10-07 06:30:00,0,0
11, None, None,0,4,13.5, 1990-10-07 17:00:00,0,0
6, None, None,0,4,11, 1990-10-08 08:00:00,0,0
15, None, None,0,6,16, 1990-10-08 16:00:00,0,0
8, None, None,0,8,15, 1990-10-09 07:00:00,0,0
10.5, None, None,0,8,11, 1990-10-09 16:00:00,8,0
5, None, None,0,5,12, 1990-10-10 06:15:00,0,0
13, None, None,0,4,15, 1990-10-10 16:30:00,0,0
2, None, None,0,2,13, 1990-10-11 06:30:00,0,0
9, None, None,0,1.5,10, 1990-10-11 16:10:00,2,0
9, None, None,0,8,10, 1990-10-12 06:30:00,13,0
14, None, None,0,8,15, 1990-10-12 16:00:00,1,0
3, None, None,0,3,14, 1990-10-13 06:30:00,0,0
11, None, None,0,3,14, 1990-10-13 15:50:00,0,0
12, None, None,0,6,12, 1990-10-14 07:30:00,5,0
9, None, None,0,5,12, 1990-10-14 16:00:00,13,0
7.5, None, None,0,7,9, 1990-10-15 06:30:00, None,0
11, None, None,0,7,12, 1990-10-15 16:20:00,0,0
4, None, None,0,4,12, 1990-10-16 06:20:00,0,0
12, None, None,0,4,13, 1990-10-16 16:20:00,0,0
8, None, None,0,4.5,12, 1990-10-17 06:15:00,0,0
8, None, None,0,8,9, 1990-10-17 16:00:00,1,0
6.5, None, None,0,5.5,9, 1990-10-18 06:15:00,4,0
12, None, None,0,6.5,13, 1990-10-18 15:55:00,21,0
6, None, None,0,6,12.5, 1990-10-19 06:30:00,0,0
13, None, None,0,5,15, 1990-10-19 16:00:00,0,0
5, None, None,0,4.5,14, 1990-10-20 07:30:00,0,0
9, None, None,0,5,9, 1990-10-20 15:50:00, None,0
9, None, None,0,8,11, 1990-10-21 07:30:00,150,0
11.5, None, None,0,9,12, 1990-10-21 15:45:00,0,0
5, None, None,0,5,15, 1990-10-22 06:10:00,0,0
9.5, None, None,0,4,13, 1990-10-22 16:00:00,0,0
5, None, None,0,5,10, 1990-10-23 06:15:00,0,0
12, None, None,0,5,14, 1990-10-23 16:15:00,0,0
9, None, None,0,7.5,12, 1990-10-24 06:20:00,0,0
15.5, None, None,0,9,16, 1990-10-24 16:10:00,0,0
9, None, None,0,8.5,16, 1990-10-25 06:30:00,0,0
13.5, None, None,0,9,15, 1990-10-25 15:50:00,10,0
8, None, None,0,7.5,14, 1990-10-26 06:20:00,4,0
13, None, None,0,6,15, 1990-10-26 16:00:00,0,0
7, None, None,0,6,13.5, 1990-10-27 07:30:00,0,0
15, None, None,0,7,16, 1990-10-27 15:50:00,0,0
5.5, None, None,0,4,15, 1990-10-28 07:30:00,40,0
8, None, None,0,5,10.5, 1990-10-28 15:50:00,35,0
7, None, None,0,3,8, 1990-10-29 06:15:00,1,0
9, None, None,0,6.5,10, 1990-10-29 16:15:00,3,0
6, None, None,0,6,9, 1990-10-30 06:30:00,3,0
10.5, None, None,0,6,12, 1990-10-30 16:00:00,0,0
5.5, None, None,0,5.5,10.5, 1990-10-31 06:00:00,5,0
10, None, None,0,4,12.5, 1990-10-31 16:00:00,0,0
2, None, None,0,2,10, 1990-11-01 06:30:00,0,0
10, None, None,0,2,12, 1990-11-01 16:00:00,0,0
6, None, None,0,1,10, 1990-11-02 06:15:00,0,0
7, None, None,0,6,7, 1990-11-02 16:00:00,0,0
8, None, None,0,6,8.5, 1990-11-03 07:30:00,140,0
9, None, None,0,7,9, 1990-11-03 15:55:00,65,0
9.5, None, None,0,7.5,9.5, 1990-11-04 07:30:00,35,0
11, None, None,0,9.5,12, 1990-11-04 15:45:00,10,0
4, None, None,0,3,12, 1990-11-05 06:15:00,0,0
9.5, None, None,0,4,10.5, 1990-11-05 16:15:00,0,0
2.5, None, None,0,0,9.5, 1990-11-06 06:20:00,0,0
7, None, None,0,2,8, 1990-11-06 16:15:00,0,0
6, None, None,0,6,7, 1990-11-07 06:00:00,9,0
10, None, None, None,3,12, 1990-11-07 16:00:00,1, None
7.5, None, None,0,7,11, 1990-11-08 06:15:00,5,0
8, None, None,0,6,9, 1990-11-08 15:45:00,3,0
12, None, None,0,6.5,13, 1990-11-09 06:45:00,55,0
13, None, None,0,12,13, 1990-11-09 16:20:00,25,0
8, None, None, None,7,13, 1990-11-10 07:30:00,75, None
15, None, None,0,8,16, 1990-11-10 17:05:00,7,0
14, None, None,0,12,15, 1990-11-11 06:00:00,20,0
14, None, None, None,7,15, 1990-11-11 15:45:00,0, None
10, None, None, None,9,15, 1990-11-12 07:30:00,0, None
11, None, None, None,10,13, 1990-11-12 15:40:00,3, None
10, None, None,0,10,12, 1990-11-13 06:30:00,35,0
8, None, None,0,8,10, 1990-11-13 16:00:00,2,0
4.5, None, None,0,3.5,8, 1990-11-14 06:10:00,2,0
8, None, None,0,4.5,9, 1990-11-14 16:00:00,4,0
6, None, None,0,4.5,8, 1990-11-15 06:20:00,0,0
9.5, None, None,0,5.5,10, 1990-11-15 16:00:00,0,0
7.5, None, None,0,7.5,10, 1990-11-16 06:30:00,0,0
10, None, None,0,7,12, 1990-11-16 16:00:00,5,0
4, None, None,0,4,10, 1990-11-17 07:00:00,6,0
9, None, None,0,4,12, 1990-11-17 16:00:00,0,0
0,0, None,0,0,10, 1990-11-18 07:00:00,0,0
7, None, None,0,0,10, 1990-11-18 15:40:00,0,0
5, None, None,0,5,10, 1990-11-19 07:00:00,0,0
5, None, None,0,5,7, 1990-11-19 15:45:00,3,0
0, None, None,0,0,7, 1990-11-20 06:30:00,10,0
5, None, None,0,0,7.5, 1990-11-20 16:00:00,0,0
4, None, None,0,3,5, 1990-11-21 06:30:00,2,0
5, None, None, None,4,6, 1990-11-21 15:30:00,16, None
7.5, None, None,0,4,10.5, 1990-11-22 06:30:00,21,0
9, None, None,0,6,9, 1990-11-22 15:30:00,14,0
12, None, None,0,7,12.5, 1990-11-23 07:15:00,26,0
12, None, None,0,7,12, 1990-11-23 17:20:00,58,0
7, None, None,0,7,13, 1990-11-24 07:20:00,16,0
6, None, None,0,6,7, 1990-11-24 16:00:00,15,0
3, None, None,0,3,6.5, 1990-11-25 07:00:00,2,0
7, None, None,0,3,9, 1990-11-25 15:30:00,0,0
0, None, None,0,0,9, 1990-11-26 06:00:00,0,0
5, None, None,0,0,7, 1990-11-26 15:40:00,2,0
1, None, None,0,1,6, 1990-11-27 06:15:00,8,0
6,0, None,0,1,9, 1990-11-27 15:30:00,0,0
4, None, None,0,1,6, 1990-11-28 06:00:00,0,0
7, None, None,0,4,9, 1990-11-28 16:00:00,0,0
5, None, None,0,1,10, 1990-11-29 06:30:00,13,0
5, None, None,0,5,7, 1990-11-29 16:30:00,2,0
1.5, None, None,0,1.5,5, 1990-11-30 06:00:00,2,0
3, None, None,0,1,4.5, 1990-11-30 15:20:00,3,0
3, None, None,0,3,5, 1990-12-01 07:47:00,11,0
3, None, None,0,3,6, 1990-12-01 15:30:00,3,0
1, None, None,0,1,5, 1990-12-02 07:30:00,2,0
3, None, None,0,1,5, 1990-12-02 15:30:00,3,0
5, None, None,0,3,6, 1990-12-03 06:00:00,9,0
7, None, None,0,5,7, 1990-12-03 15:30:00,3,0
7, None, None,0,7,8, 1990-12-04 06:20:00,34,0
5, None, None,0,5,8, 1990-12-04 15:40:00,6,0
5, None, None,0,4,5, 1990-12-05 06:15:00,5,0
7, None, None,0,5,7, 1990-12-05 15:30:00,0,0
6.5, None, None,0,5.5,7, 1990-12-06 06:15:00,0,0
9, None, None,0,6.5,11, 1990-12-06 15:30:00,0,0
4, None, None,0,1,9, 1990-12-07 06:30:00,0,0
6, None, None,0,4,6, 1990-12-07 15:30:00,0,0
6, None, None,0,4,6, 1990-12-08 07:30:00,12,0
8, None, None,0,5,9, 1990-12-08 13:30:00,11,0
6, None, None,0,6,8, 1990-12-09 07:30:00,26,0
6, None, None,0,6,6, 1990-12-09 16:00:00,1,0
5.5, None, None,0,5,7, 1990-12-10 06:15:00,0,0
5, None, None,0,5,8, 1990-12-10 17:45:00,0,0
3.5, None, None,0,2.5,5, 1990-12-11 06:30:00,0,0
4, None, None,0,3.5,8, 1990-12-11 16:30:00,0,0
3.5, None, None,0,2.5,6, 1990-12-12 06:00:00,0,0
5, None, None,0,3.5,6.5, 1990-12-12 16:00:00,1,0
2.5, None, None,0,2,6, 1990-12-13 06:20:00,4,0
4, None, None,0,2,5, 1990-12-13 16:45:00,0,0
4, None, None,0,2.5,6.5, 1990-12-14 06:30:00,0,0
5.5, None, None,0,3.5,7, 1990-12-14 15:10:00,0,0
4, None, None,0,4,6, 1990-12-15 08:30:00,1,0
4, None, None,0,2,4, 1990-12-15 15:25:00,2,0
0, None, None,0,0,4, 1990-12-16 07:05:00,0,0
3, None, None,0,0,4.5, 1990-12-16 16:00:00,3,0
8, None, None,0,3,8, 1990-12-17 06:15:00,6,0
9, None, None,0,8,9.5, 1990-12-17 16:00:00,5,0
